"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Silva.ref"
"Zotu.0444","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter","Dyadobacter_psychrophilus","FJ719038.Unc004r8_96.08_Dyadobacter_psychrophilus_1431_97.624"
"Zotu.0445","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium","[Clostridium]_hiranonis","HQ777012.Unc052e3_99.58_[Clostridium]_hiranonis_1375_99.709"
"Zotu.0446","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter_saccharivorans","BD144114.Unide360_98.01_Fusicatenibacter_saccharivorans_1409_99.574"
"Zotu.0447","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Sphingobium_quisquiliarum","JF776964.UncA7213_98.65_Sphingobium_mellinum_Sphingobium_quisquiliarum_1410_97.447"
"Zotu.0448","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Sphingobium_yanoikuyae","AB128872.Unc66734_97.75_Sphingobium_yanoikuyae_1410_99.574"
"Zotu.0449","Bacteria","Firmicutes","Bacilli","Bacillales","Family_X","Thermicanus","Thermicanus_aegyptius","AZNU01000004.HNFAegyp_86.88_Thermicanus_aegyptius_1416_98.799"
"Zotu.0450","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus_unclass","GQ452286.IHKSpe81_96.88_Paracoccus_solventivorans_1382_97.178"
"Zotu.0451","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","Bradymonadales_fa","Bradymonadales_ge","Bradymonadales_ge_unclass","HE648198.UncDe958_87.03_Geobacter_metallireducens_1488_84.61"
"Zotu.0452","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Schlegelella","Schlegelella_thermodepolymerans","KF911285.Unc80171_98.9_Schlegelella_thermodepolymerans_1453_98.968"
"Zotu.0453","Bacteria","Cyanobacteria","Chloroplast","Chloroplast_or","Chloroplast_fa","Chloroplast_ge","Chloroplast_ge_unclass","GCMQ01014669.PiuSati3_99.66_Anabaena_cylindrica_1426_85.975"
"Zotu.0454","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_","Bryobacter","Bryobacter_unclass","JX079319.Unc57936_92.21_Bryobacter_aggregatus_1369_90.139"
"Zotu.0455","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_rubra","HM241119.UncSp771_95.68_Sphingomonas_rubra_1413_98.018"
"Zotu.0456","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_frederiksbergensis","AB330408.F1NSp915_99.33_Pseudomonas_frederiksbergensis_Pseudomonas_syringae_1460_98.904"
"Zotu.0457","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella_unclass","JN236436.Unc00h6v_95.24_Bartonella_rattaustraliani_1411_95.322"
"Zotu.0458","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","Prevotella_7_unclass","AB874502.Unc04q38_92.91_Prevotella_scopos_1459_92.803"
"Zotu.0459","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herminiimonas","Herminiimonas_saxobsidens","AB512141.H9USaxo2_99.26_Herminiimonas_saxobsidens_1454_100"
"Zotu.0460","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus_1","Coprococcus_catus","AB361624.HFOCatus_96.43_Coprococcus_catus_1315_99.772"
"Zotu.0461","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellales_unclass","uncultured_ge","uncultured_ge_unclass","GU180182.Unc13664_97.29_Gaiella_occulta_1485_88.956"
"Zotu.0462","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Pleomorphomonas","Pleomorphomonas_oryzae","AB127971.IVGKoree_100_Pleomorphomonas_oryzae_1405_99.715"
"Zotu.0463","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria_ge","Mitochondria_ge_unclass","AC185461.ZeaMays0_99.74_Caedibacter_caryophilus_918_78.649"
"Zotu.0464","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus_sputorum","AFNK01000005.GJISputo_96.12_Haemophilus_sputorum_1363_99.927"
"Zotu.0465","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","Lachnospiraceae_NK4A136_group_unclass","DQ815895.Unc74662_93.76_Eisenbergiella_massiliensis_1459_90.61"
"Zotu.0466","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_thermotolerans","AB616678.F1NSp930_95.5_Pseudomonas_thermotolerans_1428_99.72"
"Zotu.0467","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Thermobacillus","Thermobacillus_unclass","KF911143.Unc32950_94.24_Thermobacillus_xylanilyticus_1499_93.929"
"Zotu.0468","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum","Faecalibaculum_unclass","CP011391.M7PRode2_84.23_Allobaculum_stercoricanis_1465_86.894"
"Zotu.0469","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Geobacillus_subterraneus","CP006254.GK5Spe30_98.83_Geobacillus_subterraneus_1476_98.984"
"Zotu.0470","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas_rhizophila","AB770014.GFUSpe73_99.93_Stenotrophomonas_rhizophila_1468_99.659"
"Zotu.0471","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Atopobium","Atopobium_parvulum","GU361870.Unc59542_96.07_Atopobium_parvulum_1433_99.442"
"Zotu.0472","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aquamicrobium","Aquamicrobium_aestuarii","FJ167453.Unc90305_97.23_Aquamicrobium_aestuarii_1406_99.36"
"Zotu.0473","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides_oleivorans","AM697175.Unc66271_97.35_Nocardioides_oleivorans_1437_98.469"
"Zotu.0474","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Paraburkholderia","Burkholderia_gladioli","AB012916.G9KGla20_100_Burkholderia_gladioli_1457_99.176"
"Zotu.0475","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","Carnobacterium_maltaromaticum","AB680941.GJEMal10_99.19_Carnobacterium_maltaromaticum_1469_98.23"
"Zotu.0476","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophaga","Chitinophaga_niabensis","AB681053.HV5Arve8_95.39_Chitinophaga_niabensis_1402_99.786"
"Zotu.0477","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus","Anaerococcus_unclass","EU735704.Unc41773_93.02_Anaerococcus_octavius_1409_95.6"
"Zotu.0478","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus","Anaerococcus_unclass","FM872962.Unc55341_93.31_Anaerococcus_octavius_1410_95.248"
"Zotu.0479","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","Janthinobacterium_lividum","AB237673.Unc80688_98.28_Janthinobacterium_lividum_1452_97.865"
"Zotu.0480","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas_maltophilia","AB683956.GFUMa438_99.4_Stenotrophomonas_maltophilia_1466_99.318"
"Zotu.0481","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chryseobacterium","Chryseobacterium_unclass","KC107830.HZ9Spe91_95.62_Chryseobacterium_hominis_1441_95.489"
"Zotu.0482","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella","Veillonella_parvula","AB538437.VeeParv5_99.8_Veillonella_parvula_1484_100"
"Zotu.0483","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_thermocoprophilus","JF325872.GQTSp785_98.24_Streptomyces_thermocoprophilus_1450_98.069"
"Zotu.0484","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas_intermedia","AJ007802.IVUInte4_100_Brevundimonas_intermedia_1382_99.638"
"Zotu.0485","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_aeruginosa","AAQW01000001.F1NAe639_99.93_Pseudomonas_aeruginosa_1457_99.931"
"Zotu.0486","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_ge","Ruminococcaceae_ge_unclass","AY858445.Unc059l8_91.15_Anaeromassilibacillus_senegalensis_1449_87.854"
"Zotu.0487","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_campinasensis","AB043867.GBFSp133_99.67_Paenibacillus_campinasensis_1475_99.458"
"Zotu.0488","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides_islandensis","KC554530.UncB2426_94.41_Nocardioides_islandensis_1474_97.083"
"Zotu.0489","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_chumphonensis","AB738400.GQTChump_97.9_Streptomyces_chumphonensis_1453_100"
"Zotu.0490","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_asaccharolytica","LMQP01000001.I81Sp786_97.82_Sphingomonas_asaccharolytica_1408_98.438"
"Zotu.0491","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aliihoeflea","Aliihoeflea_unclass","AB257631.UncAl403_97.03_Aliihoeflea_aestuarii_1424_96.98"
"Zotu.0492","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia","Dietzia_maris","DQ337507.I29Spe57_99.26_Dietzia_maris_1439_99.514"
"Zotu.0493","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium_naphthalenivorans","AB663504.RbuNapht_98.89_Rhizobium_naphthalenivorans_1408_100"
"Zotu.0494","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_duraquae","ABCM01000012.HKTSp133_96.4_Pedobacter_duraquae_1443_98.545"
"Zotu.0495","Bacteria","Acidobacteria","Subgroup_6","Subgroup_6_or","Subgroup_6_fa","Subgroup_6_ge","Subgroup_6_ge_unclass","HQ729774.UncAc947_95.23_Holophaga_foetida_1387_83.562"
"Zotu.0496","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas_diminuta","AB594766.IVUDim30_100_Brevundimonas_diminuta_1384_100"
"Zotu.0497","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alishewanella","Alishewanella_fetalis","DQ501353.UncG1379_95.3_Alishewanella_fetalis_1461_97.331"
"Zotu.0498","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclass","Ruminococcaceae_unclass","EF403383.Unc43037_90.93_Oscillibacter_valericigenes_1455_91.065"
"Zotu.0499","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia_mucilaginosa","EF509689.Unc66164_99.52_Rothia_mucilaginosa_1451_99.38"
"Zotu.0500","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinomycetospora","Actinomycetospora_lutea","AB514516.H9DLute2_94.08_Actinomycetospora_lutea_1453_99.862"
"Zotu.0501","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Variovorax_soli","AY621157.VrvSpec7_98.4_Variovorax_soli_1460_98.425"
"Zotu.0502","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_ginsengihumi","AB245378.BcsGinse_98.4_Bacillus_ginsengihumi_1474_100"
"Zotu.0503","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia_mucilaginosa","X87758.Rt0Muci5_99.25_Rothia_mucilaginosa_1451_100"
"Zotu.0504","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium","Aquabacterium_citratiphilum","HE576381.Unc80282_98.9_Aquabacterium_citratiphilum_1418_98.942"
"Zotu.0505","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Spelaeicoccus","Spelaeicoccus_unclass","KT728197.JGUBact2_92.52_Brevibacterium_massiliense_1461_93.224"
"Zotu.0506","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_unclass","EF602890.Unc62237_94.97_Alistipes_senegalensis_1455_95.395"
"Zotu.0507","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter","Dyadobacter_ginsengisoli","JQ977127.I78Spec5_95.8_Dyadobacter_ginsengisoli_1431_97.414"
"Zotu.0508","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Tepidiphilus","Tepidiphilus_succinatimandens","AY219713.H4YSucci_99.74_Tepidiphilus_succinatimandens_1459_100"
"Zotu.0509","Bacteria","FBP","FBP_cl","FBP_or","FBP_fa","FBP_ge","FBP_ge_unclass","KC555201.Unc44680_79.56_Moorella_thermoacetica_1299_81.37"
"Zotu.0510","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Chryseomicrobium","Chryseomicrobium_aureum","DQ266896.Unc05iah_94.61_Chryseomicrobium_aureum_1474_99.661"
"Zotu.0511","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Cytophagaceae_unclass","Cytophagaceae_unclass","KP054182.Unc05iew_94.05_Chryseolinea_serpens_1447_91.154"
"Zotu.0512","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae_R-7_group","Christensenellaceae_R-7_group_unclass","AY854306.Unc20246_92.15_Christensenella_minuta_1473_84.318"
"Zotu.0513","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aquamicrobium","Nitratireductor_lucknowense","JAGL01000083.IK6Spec2_98.02_Nitratireductor_lucknowense_1406_98.649"
"Zotu.0514","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge","Bacteroidales_S24-7_group_ge_unclass","JN012801.Unc73663_90.07_Muribaculum_intestinale_1416_90.607"
"Zotu.0515","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia_arvi","AB196254.JnhSpe31_96.45_Massilia_arvi_1421_99.085"
"Zotu.0516","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_graminis","AB990781.Unc74902_98.97_Pseudomonas_graminis_1460_99.315"
"Zotu.0517","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophagaceae_unclass","Chitinophagaceae_unclass","FJ230916.Unc39469_92.76_Lacibacter_cauensis_1457_89.911"
"Zotu.0518","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Thermasporomyces","Thermasporomyces_composti","AB535715.J3XCompo_92.32_Thermasporomyces_composti_1446_100"
"Zotu.0519","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Dactylosporangium","Dactylosporangium_roseum","KC554753.Unc50230_97.44_Dactylosporangium_roseum_1441_98.057"
"Zotu.0520","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","[Ruminococcus]_obeum","AB506208.Unc22507_97.95_[Ruminococcus]_obeum_1400_98.643"
"Zotu.0521","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Achromobacter_anxifer","AB046605.GKASpe39_100_Achromobacter_anxifer_1452_99.311"
"Zotu.0522","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge","Bacteroidales_S24-7_group_ge_unclass","EF604748.Unc04lsl_90.01_Muribaculum_intestinale_1429_88.034"
"Zotu.0523","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas_massiliensis","FJ200382.HQ1Spe22_99.26_Cellulomonas_massiliensis_1442_99.653"
"Zotu.0524","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_parafulva","AB060131.F1NFul14_100_Pseudomonas_parafulva_1458_100"
"Zotu.0525","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces","Agromyces_ulmi","AY427830.H5CAUlm2_99.47_Agromyces_ulmi_1447_100"
"Zotu.0526","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas","Roseomonas_rhizosphaerae","LT009497.Rs4Spe50_97.88_Roseomonas_rhizosphaerae_1409_98.652"
"Zotu.0527","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_ge","[Clostridium]_innocuum","AGYV01000001.CsrInno4_97.57_[Clostridium]_innocuum_1450_99.034"
"Zotu.0528","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","Lachnospiraceae_NK4A136_group_unclass","JQ083725.Unc05uuh_90.45_Bariatricus_massiliensis_1475_90.034"
"Zotu.0529","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina","Paenisporosarcina_indica","AB712342.H3PSpeci_95.5_Paenisporosarcina_indica_1477_98.172"
"Zotu.0530","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Oligoflexaceae_ge","Oligoflexaceae_ge_unclass","AB696523.Unc78824_84.32_Oligoflexus_tunisiensis_1462_90.971"
"Zotu.0531","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea","Bosea_eneae","AB425327.IKTSpe20_99.37_Bosea_eneae_Bosea_vestrisii_1408_99.219"
"Zotu.0532","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_pettenkoferi","AM265622.F3CPett4_98.09_Staphylococcus_pettenkoferi_1475_99.932"
"Zotu.0533","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium_barchaimii","HQ218509.Unc81363_97.04_Novosphingobium_barchaimii_1372_99.417"
"Zotu.0534","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_ge","[Eubacterium]_eligens","EF404280.Unc36633_99.13_[Eubacterium]_eligens_1452_98.691"
"Zotu.0535","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Pigmentiphaga","Pigmentiphaga_daeguensis","HZ486161.IBBDaeg7_99.33_Pigmentiphaga_daeguensis_1452_99.449"
"Zotu.0536","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Ureibacillus","Ureibacillus_thermophilus","FW350228.UbcTher2_96.76_Ureibacillus_thermophilus_1474_99.864"
"Zotu.0537","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Prauserella","Prauserella_rugosa","AB297964.HSQRugo2_96.42_Prauserella_rugosa_1448_100"
"Zotu.0538","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_koreensis","AB681397.HKTKoree_96.33_Pedobacter_koreensis_1441_100"
"Zotu.0539","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_psychrotolerans","CP013987.F1NOry50_97.23_Pseudomonas_psychrotolerans_1460_99.452"
"Zotu.0540","Bacteria","Chloroflexi","Thermomicrobia","JG30-KF-CM45","JG30-KF-CM45_fa","JG30-KF-CM45_ge","JG30-KF-CM45_ge_unclass","FJ542874.Unc66081_81.81_Sphaerobacter_thermophilus_1448_85.359"
"Zotu.0541","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Faecalibacterium_prausnitzii","EF401888.Unc62789_97.62_Faecalibacterium_prausnitzii_1437_97.008"
"Zotu.0542","Bacteria","Cyanobacteria","Chloroplast","Chloroplast_or","Chloroplast_fa","Chloroplast_ge","Chloroplast_ge_unclass","HQ420121.Unc00bix_91.4_Stanieria_cyanosphaera_1359_83.297"
"Zotu.0543","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","Delftia_tsuruhatensis","AB075017.H5OTsur9_99.93_Delftia_tsuruhatensis_1455_100"
"Zotu.0544","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella","Veillonella_parvula","CP001820.VeeParvu_99.42_Veillonella_parvula_1485_99.529"
"Zotu.0545","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Planifilum","Planifilum_fimeticola","AB088364.PifFimet_97.02_Planifilum_fimeticola_1470_100"
"Zotu.0546","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","Trueperella_bernardiae","LNIZ01000018.HOJBern2_94.22_Trueperella_bernardiae_1382_99.855"
"Zotu.0547","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1","Clostridium_tertium","AB618789.CsrTert2_99.8_Clostridium_tertium_1437_100"
"Zotu.0548","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","Alloprevotella_unclass","GQ867396.Unc49625_90.3_Prevotellamassilia_timonensis_1460_92.808"
"Zotu.0549","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Calditerricola","Calditerricola_yamamurae","AB308475.GJWYamam_90.16_Calditerricola_yamamurae_1495_100"
"Zotu.0550","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_NK3B31_group","Prevotellaceae_NK3B31_group_unclass","CDZD01043489.Gt8Me235_93.51_Prevotella_shahii_1460_90.89"
"Zotu.0551","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Asanoa","Asanoa_ishikariensis","AJ294715.I5NIshik_97.86_Asanoa_ishikariensis_1437_100"
"Zotu.0552","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Ochrobactrum","Ochrobactrum_pseudintermedium","DQ305284.IIPSpec2_97.32_Ochrobactrum_pseudintermedium_1374_99.782"
"Zotu.0553","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Bdellovibrio_unclass","KM016277.UncBde39_91.67_Bdellovibrio_exovorus_1439_89.924"
"Zotu.0554","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_NK4A214_group","Ruminococcaceae_NK4A214_group_unclass","GQ897440.Unc41443_93.69_Sporobacter_termitidis_1453_92.292"
"Zotu.0555","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas","Roseomonas_musae","AGEZ01000040.IJABact3_94.96_Roseomonas_musae_1407_98.01"
"Zotu.0556","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclass","Ruminococcaceae_unclass","AJ408976.Unc55486_99.86_Anaeromassilibacillus_senegalensis_1444_92.244"
"Zotu.0557","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus_pittmaniae","AFUV01000004.GJIPitt5_96.12_Haemophilus_pittmaniae_1463_99.932"
"Zotu.0558","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_unclass","FR682741.HKTSpe29_95.72_Pedobacter_agri_Pedobacter_ginsenosidimutans_1443_96.188"
"Zotu.0559","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia_unclass","FM873343.Unc54004_94.59_Rothia_amarae_1386_98.124"
"Zotu.0560","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_odontolyticus","AB818950.GFKOdont_98.47_Actinomyces_odontolyticus_1461_100"
"Zotu.0561","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_hartonius","AM491371.HKTHarto_95.5_Pedobacter_hartonius_1443_100"
"Zotu.0562","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Parapedobacter","Parapedobacter_unclass","GQ263512.Unc70259_92.83_Parapedobacter_koreensis_1444_96.468"
"Zotu.0563","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_ge","Ruminococcus_lactaris","ABOU02000049.Ru2Lacta_95.04_Ruminococcus_lactaris_1404_98.219"
"Zotu.0564","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium_faecium","CP009278.HJSSpec2_93.51_Sphingobacterium_faecium_1452_97.452"
"Zotu.0565","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","Curtobacterium_pusillum","AB046364.HFPSpec8_100_Curtobacterium_pusillum_1443_99.446"
"Zotu.0566","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_mediterraneensis","AB712344.BcsSp371_97.76_Bacillus_mediterraneensis_1474_97.558"
"Zotu.0567","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Roseburia_unclass","JN001213.Unc77421_96.84_Roseburia_faecis_1458_91.907"
"Zotu.0568","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Family_XIII_AD3011_group","Family_XIII_AD3011_group_unclass","AB506296.Unc21138_96.01_Casaltella_massiliensis_1448_89.986"
"Zotu.0569","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","Lachnoclostridium_unclass","AB702934.CsrFusif_99.73_[Clostridium]_scindens_1458_94.376"
"Zotu.0570","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis_panaciterrae","AB245353.SxiPana3_99.03_Sphingopyxis_panaciterrae_1410_100"
